    0     0     0     0     0     0     0     0 
    0     0  2791     0    53     0     0     0 
    0     0     0     0     0     0     0     0 
    0     0     0     0     0     0     0     0 
23046    64     6     0     0     0     1   442 
    6     6     0     0  1725   960  2449     0 
   20    83    25    15    16     4     5     1 
    1     2   312     8     0     0    21   272 
    0   347   235   170   179   206   115   118 
  413   455   165    59   112   326   122   142 
  133    13    67   418   508    88    20   228 
    1   101     3     0     0     0     0     0 
    0  7551  1522  2181  4431 12497  1969  2423 
 6040  6534    89  1271  4672  2385  6540  7400 
 1900   103  5776  6876  7802  2975   736  2044 
   79  2139    86     0    36     0     0     0 
    0     0     0     0     0     0     0     0 
    0     0     0     0     0     0     0     0 
    0     0     0     0     0     0     0     0 
    0     0     0     0     0     0     0     0 
    4     0     0     0     0     0     0     0 
    2     8     0     0     0     0     1     0 
    0     0     0     0     0     0     0     0 
    0     0     0     0     2     0     0     0 
    0     0     3    14     0     0     0     0 
    0     0     0     0     0     0     0     0 
    0     0     0     0     0     0     0     0 
    0     0     0     0     0     0     0     0 
    0     0     0     0     0     0     0     0 
    0     0     0     0     0     0     0     0 
    0     0     0     0     0     0     0     0 
    0     0     0     0     0     0     0     0 
